id,disease,complaint
276,Grip,"Doktor hanım, son birkaç gündür yutkunurken boğazım acıyor ve kas ve eklem ağrılarım var."
277,Grip,"Doktor hanım, bir haftadır balgamsız öksürüyorum ve baş ağrısı eşlik ediyor."
278,Grip,"Doktor bey, bir haftadır baş ağrısı eşlik ediyor ve yorgunluk hissediyorum."
279,Grip,"Doktor bey, üç gündür burnum sürekli akıyor ve kas ve eklem ağrılarım var."
280,Grip,"Doktor bey, son birkaç gündür kas ve eklem ağrılarım var ve boğazım ağrıyor."
281,Grip,"Doktor hanım, bir haftadır yüksek ateşim oluyor, ateşim 38 derece civarında ve baş ağrısı eşlik ediyor."
282,Grip,"Hocam, sabahtan beri kuru öksürüğüm var ve yorgunluk hissediyorum."
283,Grip,"Hocam, son birkaç gündür burun tıkanıklığım var ve burnum tıkalı."
284,Grip,"Doktor hanım, bir haftadır çok halsizim ve ateşim 38 derece civarında."
285,Grip,"Hocam, üç gündür ara sıra kusuyorum, vücut ağrısı hissediyorum ve boğazımda yanma var."
286,Grip,"Hocam, bir haftadır ateşim 38 derece civarında ve kuru öksürüğüm var."
287,Grip,"Doktor bey, son birkaç gündür kas ve eklem ağrılarım var ve kuru öksürüğüm var."
288,Grip,"Hocam, üç gündür yüksek ateşim oluyor, yüksek ateşim oluyor ve ateşim 38 derece civarında."
289,Grip,"Doktor bey, sabahtan beri enerjim yok ve vücut ağrısı hissediyorum."
290,Grip,"Hocam, üç gündür yorgunluk hissediyorum, kas ve eklem ağrılarım var ve yorgunluk hissediyorum."
291,Grip,"Doktor bey, üç gündür ateşim 38 derece civarında ve balgamsız öksürüyorum."
292,Grip,"Hocam, dünden beri başım ağrıyor ve ateşim 38 derece civarında."
293,Grip,"Doktor bey, sabahtan beri kas ve eklem ağrılarım var, kas ve eklem ağrılarım var ve yüksek ateşim oluyor."
294,Grip,"Doktor bey, üç gündür burnum tıkalı ve boğazımda yanma var."
295,Grip,"Doktor bey, sabahtan beri yüksek ateşim oluyor ve enerjim yok."
296,Grip,"Hocam, son birkaç gündür kas ve eklem ağrılarım var ve yorgunluk hissediyorum."
297,Grip,"Doktor bey, bir haftadır yutkunurken boğazım acıyor, ateşim 38 derece civarında ve yüksek ateşim oluyor."
298,Grip,"Hocam, son birkaç gündür burun akıntım var ve yorgunluk hissediyorum."
299,Grip,"Doktor bey, son birkaç gündür ateşim 38 derece civarında ve yorgunluk hissediyorum."
300,Grip,"Doktor bey, iki gündür kas ve eklem ağrılarım var, vücut ağrısı hissediyorum ve kas ve eklem ağrılarım var."
301,Grip,"Doktor bey, dünden beri enerjim yok ve başım ağrıyor."
302,Grip,"Doktor hanım, son birkaç gündür boğazım ağrıyor ve bulantım var."
303,Grip,"Doktor hanım, bir haftadır ateşim çıkıyor ve ateşim çıkıyor."
304,Grip,"Hocam, sabahtan beri başım ağrıyor, vücut ağrısı hissediyorum ve vücut ağrısı hissediyorum."
305,Grip,"Doktor hanım, son birkaç gündür yorgunluk hissediyorum, yutkunurken boğazım acıyor ve çok halsizim."
306,Grip,"Hocam, dünden beri vücut ağrısı hissediyorum, boğazım ağrıyor ve çok halsizim."
307,Grip,"Doktor bey, iki gündür burun akıntım var ve vücut ağrısı hissediyorum."
308,Grip,"Doktor bey, dünden beri geceleri artan öksürüğüm var, boğazım ağrıyor ve ateşim 38 derece civarında."
309,Grip,"Hocam, üç gündür çok halsizim ve yüksek ateşim oluyor."
310,Grip,"Doktor hanım, sabahtan beri vücut ağrısı hissediyorum, yorgunluk hissediyorum ve vücut ağrısı hissediyorum."
311,Grip,"Doktor bey, son birkaç gündür yüksek ateşim oluyor ve kas ve eklem ağrılarım var."
312,Grip,"Doktor bey, dünden beri baş ağrısı eşlik ediyor ve başım ağrıyor."
313,Grip,"Doktor bey, üç gündür vücut ağrısı hissediyorum, baş ağrısı eşlik ediyor ve vücut ağrısı hissediyorum."
314,Grip,"Doktor bey, dünden beri ateşim çıkıyor ve ateşim 38 derece civarında."
315,Grip,"Doktor hanım, üç gündür enerjim yok ve kas ve eklem ağrılarım var."
316,Grip,"Hocam, iki gündür çok halsizim, enerjim yok ve burnum tıkalı."
317,Grip,"Doktor bey, bir haftadır ateşim 38 derece civarında, vücut ağrısı hissediyorum ve ara sıra kusuyorum."
318,Grip,"Doktor hanım, iki gündür ateşim çıkıyor, ateşim çıkıyor ve yorgunluk hissediyorum."
319,Grip,"Doktor bey, sabahtan beri enerjim yok ve boğazımda yanma var."
320,Grip,"Hocam, üç gündür çok halsizim ve enerjim yok."
321,Grip,"Doktor hanım, iki gündür burun tıkanıklığım var ve kas ve eklem ağrılarım var."
322,Grip,"Doktor bey, dünden beri yüksek ateşim oluyor ve yüksek ateşim oluyor."
323,Grip,"Doktor hanım, sabahtan beri yorgunluk hissediyorum ve baş ağrısı eşlik ediyor."
324,Grip,"Doktor bey, üç gündür çok halsizim ve başım ağrıyor."
325,Grip,"Doktor bey, dünden beri ateşim var ve yüksek ateşim oluyor."
326,Grip,"Doktor bey, son birkaç gündür vücut ağrısı hissediyorum, vücut ağrısı hissediyorum ve baş ağrısı eşlik ediyor."
327,Grip,"Doktor hanım, üç gündür başım ağrıyor ve burun tıkanıklığım var."
328,Grip,"Hocam, bir haftadır burun akıntım var, yüksek ateşim oluyor ve yorgunluk hissediyorum."
329,Grip,"Hocam, bir haftadır enerjim yok ve vücut ağrısı hissediyorum."
330,Grip,"Hocam, dünden beri yorgunluk hissediyorum ve ishalim var."
331,Grip,"Doktor hanım, bir haftadır burun tıkanıklığım var, burun akıntım var ve kas ve eklem ağrılarım var."
332,Grip,"Hocam, bir haftadır kuru öksürüğüm var ve yutkunurken boğazım acıyor."
333,Grip,"Doktor bey, üç gündür başım ağrıyor ve burun akıntım var."
334,Grip,"Hocam, üç gündür enerjim yok ve vücut ağrısı hissediyorum."
335,Grip,"Doktor bey, sabahtan beri ateşim 38 derece civarında ve kas ve eklem ağrılarım var."
336,Grip,"Doktor bey, üç gündür yüksek ateşim oluyor, ateşim 38 derece civarında ve çok halsizim."
337,Grip,"Doktor hanım, iki gündür balgamsız öksürüyorum ve kas ve eklem ağrılarım var."
338,Grip,"Doktor bey, son birkaç gündür kas ve eklem ağrılarım var ve kas ve eklem ağrılarım var."
339,Grip,"Doktor bey, iki gündür kuru öksürüğüm var ve baş ağrısı eşlik ediyor."
340,Grip,"Doktor hanım, bir haftadır enerjim yok, kuru öksürüğüm var ve geceleri artan öksürüğüm var."
341,Grip,"Hocam, dünden beri kuru öksürüğüm var ve kas ve eklem ağrılarım var."
342,Grip,"Hocam, dünden beri ateşim çıkıyor ve baş ağrısı eşlik ediyor."
343,Grip,"Doktor bey, bir haftadır vücut ağrısı hissediyorum ve burnum sürekli akıyor."
344,Grip,"Doktor hanım, dünden beri burun tıkanıklığım var, kuru öksürüğüm var ve ateşim 38 derece civarında."
345,Grip,"Hocam, sabahtan beri başım ağrıyor ve çok halsizim."
346,Grip,"Hocam, üç gündür yüksek ateşim oluyor ve yutkunurken boğazım acıyor."
347,Grip,"Hocam, sabahtan beri baş ağrısı eşlik ediyor, enerjim yok ve enerjim yok."
348,Grip,"Doktor bey, iki gündür yüksek ateşim oluyor ve burun tıkanıklığım var."
349,Grip,"Doktor bey, üç gündür kas ve eklem ağrılarım var ve ateşim var."
350,Grip,"Hocam, sabahtan beri kuru öksürüğüm var ve yorgunluk hissediyorum."
351,Grip,"Doktor hanım, son birkaç gündür ateşim var ve kas ve eklem ağrılarım var."
352,Grip,"Doktor bey, son birkaç gündür burnum sürekli akıyor, kas ve eklem ağrılarım var ve vücut ağrısı hissediyorum."
353,Grip,"Hocam, iki gündür enerjim yok ve yüksek ateşim oluyor."
354,Grip,"Hocam, sabahtan beri ateşim var ve burun tıkanıklığım var."
355,Grip,"Doktor hanım, iki gündür burnum tıkalı ve balgamsız öksürüyorum."
356,Grip,"Doktor bey, sabahtan beri enerjim yok, geceleri artan öksürüğüm var ve kas ve eklem ağrılarım var."
357,Grip,"Doktor bey, sabahtan beri yorgunluk hissediyorum ve balgamsız öksürüyorum."
358,Grip,"Doktor bey, bir haftadır geceleri artan öksürüğüm var ve ateşim çıkıyor."
359,Grip,"Doktor hanım, sabahtan beri vücut ağrısı hissediyorum, enerjim yok ve ara sıra kusuyorum."
360,Grip,"Doktor bey, iki gündür çok halsizim, başım ağrıyor ve kuru öksürüğüm var."
361,Grip,"Hocam, iki gündür geceleri artan öksürüğüm var ve yutkunurken boğazım acıyor."
362,Grip,"Doktor hanım, bir haftadır sulu dışkılama oldu, sulu dışkılama oldu ve boğazımda yanma var."
363,Grip,"Doktor bey, bir haftadır çok halsizim, baş ağrısı eşlik ediyor ve ateşim var."
364,Grip,"Hocam, iki gündür kas ve eklem ağrılarım var ve baş ağrısı eşlik ediyor."
365,Grip,"Doktor hanım, dünden beri enerjim yok, vücut ağrısı hissediyorum ve başım ağrıyor."
366,Grip,"Hocam, iki gündür çok halsizim, boğazım ağrıyor ve ateşim var."
367,Grip,"Hocam, sabahtan beri kas ve eklem ağrılarım var, başım ağrıyor ve kuru öksürüğüm var."
368,Grip,"Doktor hanım, üç gündür burnum tıkalı ve yutkunurken boğazım acıyor."
369,Grip,"Hocam, dünden beri vücut ağrısı hissediyorum ve kuru öksürüğüm var."
370,Grip,"Doktor hanım, iki gündür bulantım var, boğazım ağrıyor ve çok halsizim."
371,Grip,"Doktor hanım, üç gündür sulu dışkılama oldu, baş ağrısı eşlik ediyor ve burnum sürekli akıyor."
372,Grip,"Hocam, dünden beri başım ağrıyor ve balgamsız öksürüyorum."
373,Grip,"Doktor hanım, sabahtan beri başım ağrıyor ve geceleri artan öksürüğüm var."
374,Grip,"Doktor bey, bir haftadır ateşim var ve baş ağrısı eşlik ediyor."
375,Grip,"Hocam, dünden beri kuru öksürüğüm var, ara sıra kusuyorum ve geceleri artan öksürüğüm var."
376,Grip,"Doktor hanım, iki gündür kas ve eklem ağrılarım var ve ateşim çıkıyor."
377,Grip,"Hocam, üç gündür baş ağrısı eşlik ediyor ve çok halsizim."
378,Grip,"Doktor bey, sabahtan beri vücut ağrısı hissediyorum ve ateşim çıkıyor."
379,Grip,"Doktor bey, üç gündür yutkunurken boğazım acıyor ve ateşim 38 derece civarında."
380,Grip,"Hocam, sabahtan beri geceleri artan öksürüğüm var ve kas ve eklem ağrılarım var."
381,Grip,"Doktor bey, üç gündür enerjim yok ve çok halsizim."
382,Grip,"Doktor bey, bir haftadır başım ağrıyor, başım ağrıyor ve burnum sürekli akıyor."
383,Grip,"Hocam, dünden beri balgamsız öksürüyorum ve baş ağrısı eşlik ediyor."
384,Grip,"Doktor hanım, iki gündür baş ağrısı eşlik ediyor, baş ağrısı eşlik ediyor ve kas ve eklem ağrılarım var."
385,Grip,"Doktor hanım, iki gündür başım ağrıyor ve çok halsizim."
386,Grip,"Hocam, iki gündür yüksek ateşim oluyor ve kas ve eklem ağrılarım var."
387,Grip,"Doktor bey, sabahtan beri kas ve eklem ağrılarım var ve enerjim yok."
388,Grip,"Doktor bey, sabahtan beri boğazım ağrıyor ve boğazımda yanma var."
389,Grip,"Doktor hanım, üç gündür çok halsizim ve geceleri artan öksürüğüm var."
390,Grip,"Doktor bey, sabahtan beri burnum sürekli akıyor ve geceleri artan öksürüğüm var."
391,Grip,"Hocam, üç gündür kas ve eklem ağrılarım var ve kuru öksürüğüm var."
392,Grip,"Doktor hanım, iki gündür kuru öksürüğüm var ve geceleri artan öksürüğüm var."
393,Grip,"Doktor bey, üç gündür çok halsizim ve başım ağrıyor."
394,Grip,"Doktor hanım, son birkaç gündür baş ağrısı eşlik ediyor ve başım ağrıyor."
395,Grip,"Hocam, iki gündür vücut ağrısı hissediyorum ve baş ağrısı eşlik ediyor."
396,Grip,"Hocam, sabahtan beri baş ağrısı eşlik ediyor ve ateşim çıkıyor."
397,Grip,"Hocam, bir haftadır çok halsizim ve kas ve eklem ağrılarım var."
398,Grip,"Doktor bey, bir haftadır vücut ağrısı hissediyorum ve balgamsız öksürüyorum."
399,Grip,"Hocam, iki gündür ateşim çıkıyor ve boğazım ağrıyor."
400,Grip,"Hocam, üç gündür çok halsizim ve geceleri artan öksürüğüm var."
401,Soğuk algınlığı,"Doktor hanım, iki gündür burun akıntım var ve baş ağrısı eşlik ediyor."
402,Soğuk algınlığı,"Hocam, iki gündür burun tıkanıklığım var, sık sık hapşırıyorum ve kuru öksürüğüm var."
403,Soğuk algınlığı,"Doktor bey, iki gündür burnum tıkalı ve sık sık hapşırıyorum."
404,Soğuk algınlığı,"Hocam, üç gündür burnum tıkalı, burnum tıkalı ve peş peşe hapşuruyorum."
405,Soğuk algınlığı,"Doktor hanım, iki gündür sık sık hapşırıyorum ve burun akıntım var."
406,Soğuk algınlığı,"Doktor hanım, sabahtan beri burun akıntım var ve burnum tıkalı."
407,Soğuk algınlığı,"Hocam, üç gündür kuru öksürüğüm var ve geceleri artan öksürüğüm var."
408,Soğuk algınlığı,"Doktor bey, son birkaç gündür burun tıkanıklığım var, burun tıkanıklığım var ve burun tıkanıklığım var."
409,Soğuk algınlığı,"Hocam, sabahtan beri çok halsizim ve baş ağrısı eşlik ediyor."
410,Soğuk algınlığı,"Hocam, son birkaç gündür boğazım ağrıyor, balgamsız öksürüyorum ve burun tıkanıklığım var."
411,Soğuk algınlığı,"Doktor hanım, sabahtan beri kuru öksürüğüm var ve burun akıntım var."
412,Soğuk algınlığı,"Doktor hanım, iki gündür sık sık hapşırıyorum ve burnum sürekli akıyor."
413,Soğuk algınlığı,"Doktor bey, sabahtan beri burnum tıkalı, burnum tıkalı ve burnum sürekli akıyor."
414,Soğuk algınlığı,"Doktor bey, sabahtan beri balgamsız öksürüyorum ve peş peşe hapşuruyorum."
415,Soğuk algınlığı,"Doktor hanım, sabahtan beri burun tıkanıklığım var ve sık sık hapşırıyorum."
416,Soğuk algınlığı,"Doktor bey, iki gündür geceleri artan öksürüğüm var, burnum sürekli akıyor ve burun tıkanıklığım var."
417,Soğuk algınlığı,"Doktor hanım, iki gündür yutkunurken boğazım acıyor, başım ağrıyor ve burnum tıkalı."
418,Soğuk algınlığı,"Hocam, sabahtan beri geceleri artan öksürüğüm var ve peş peşe hapşuruyorum."
419,Soğuk algınlığı,"Doktor bey, son birkaç gündür peş peşe hapşuruyorum ve burun tıkanıklığım var."
420,Soğuk algınlığı,"Doktor bey, iki gündür burun akıntım var ve peş peşe hapşuruyorum."
421,Soğuk algınlığı,"Hocam, üç gündür burun akıntım var, yutkunurken boğazım acıyor ve boğazımda yanma var."
422,Soğuk algınlığı,"Doktor bey, son birkaç gündür burnum tıkalı ve boğazımda yanma var."
423,Soğuk algınlığı,"Hocam, bir haftadır kuru öksürüğüm var, burun akıntım var ve sık sık hapşırıyorum."
424,Soğuk algınlığı,"Hocam, dünden beri burnum tıkalı ve burnum sürekli akıyor."
425,Soğuk algınlığı,"Doktor hanım, iki gündür burnum tıkalı ve enerjim yok."
426,Soğuk algınlığı,"Hocam, iki gündür sık sık hapşırıyorum ve burun akıntım var."
427,Soğuk algınlığı,"Hocam, dünden beri burnum sürekli akıyor ve burun tıkanıklığım var."
428,Soğuk algınlığı,"Hocam, iki gündür geceleri artan öksürüğüm var ve burnum tıkalı."
429,Soğuk algınlığı,"Doktor bey, sabahtan beri balgamsız öksürüyorum, burnum tıkalı ve burnum tıkalı."
430,Soğuk algınlığı,"Doktor bey, üç gündür burnum sürekli akıyor ve kuru öksürüğüm var."
431,Soğuk algınlığı,"Doktor hanım, dünden beri sık sık hapşırıyorum, peş peşe hapşuruyorum ve peş peşe hapşuruyorum."
432,Soğuk algınlığı,"Doktor hanım, dünden beri yorgunluk hissediyorum ve baş ağrısı eşlik ediyor."
433,Soğuk algınlığı,"Hocam, son birkaç gündür burun tıkanıklığım var ve peş peşe hapşuruyorum."
434,Soğuk algınlığı,"Doktor hanım, bir haftadır burun tıkanıklığım var ve balgamsız öksürüyorum."
435,Soğuk algınlığı,"Hocam, iki gündür burun akıntım var ve kuru öksürüğüm var."
436,Soğuk algınlığı,"Hocam, iki gündür burnum sürekli akıyor ve burnum sürekli akıyor."
437,Soğuk algınlığı,"Doktor hanım, dünden beri burun akıntım var ve peş peşe hapşuruyorum."
438,Soğuk algınlığı,"Doktor bey, iki gündür burnum tıkalı ve burnum tıkalı."
439,Soğuk algınlığı,"Doktor bey, son birkaç gündür balgamsız öksürüyorum ve peş peşe hapşuruyorum."
440,Soğuk algınlığı,"Doktor bey, iki gündür boğazım ağrıyor, peş peşe hapşuruyorum ve burnum sürekli akıyor."
441,Soğuk algınlığı,"Doktor hanım, üç gündür sık sık hapşırıyorum, çok halsizim ve sık sık hapşırıyorum."
442,Soğuk algınlığı,"Doktor bey, üç gündür başım ağrıyor ve burun tıkanıklığım var."
443,Soğuk algınlığı,"Doktor bey, üç gündür burun akıntım var, burun tıkanıklığım var ve sık sık hapşırıyorum."
444,Soğuk algınlığı,"Doktor hanım, bir haftadır burnum sürekli akıyor ve burnum tıkalı."
445,Soğuk algınlığı,"Doktor hanım, son birkaç gündür başım ağrıyor ve burun akıntım var."
446,Soğuk algınlığı,"Hocam, bir haftadır başım ağrıyor ve burun akıntım var."
447,Soğuk algınlığı,"Doktor hanım, son birkaç gündür boğazımda yanma var ve burnum tıkalı."
448,Soğuk algınlığı,"Hocam, iki gündür peş peşe hapşuruyorum ve balgamsız öksürüyorum."
449,Soğuk algınlığı,"Doktor bey, bir haftadır boğazımda yanma var, burnum sürekli akıyor ve sık sık hapşırıyorum."
450,Soğuk algınlığı,"Hocam, sabahtan beri balgamsız öksürüyorum, baş ağrısı eşlik ediyor ve boğazımda yanma var."
451,Soğuk algınlığı,"Doktor hanım, iki gündür baş ağrısı eşlik ediyor ve boğazımda yanma var."
452,Soğuk algınlığı,"Doktor bey, son birkaç gündür geceleri artan öksürüğüm var, sık sık hapşırıyorum ve yutkunurken boğazım acıyor."
453,Soğuk algınlığı,"Doktor hanım, sabahtan beri kuru öksürüğüm var ve çok halsizim."
454,Soğuk algınlığı,"Hocam, bir haftadır yutkunurken boğazım acıyor ve burun tıkanıklığım var."
455,Soğuk algınlığı,"Doktor bey, sabahtan beri boğazımda yanma var, burnum tıkalı ve boğazımda yanma var."
456,Soğuk algınlığı,"Doktor bey, üç gündür burnum tıkalı, boğazımda yanma var ve geceleri artan öksürüğüm var."
457,Soğuk algınlığı,"Doktor hanım, sabahtan beri burun akıntım var ve burun tıkanıklığım var."
458,Soğuk algınlığı,"Doktor bey, dünden beri burnum tıkalı, burun tıkanıklığım var ve boğazımda yanma var."
459,Soğuk algınlığı,"Hocam, dünden beri burun akıntım var ve enerjim yok."
460,Soğuk algınlığı,"Hocam, iki gündür sık sık hapşırıyorum ve kuru öksürüğüm var."
461,Soğuk algınlığı,"Doktor bey, dünden beri boğazım ağrıyor ve sık sık hapşırıyorum."
462,Soğuk algınlığı,"Hocam, sabahtan beri balgamsız öksürüyorum ve burun akıntım var."
463,Soğuk algınlığı,"Doktor hanım, sabahtan beri peş peşe hapşuruyorum, enerjim yok ve baş ağrısı eşlik ediyor."
464,Soğuk algınlığı,"Hocam, dünden beri burun akıntım var, sık sık hapşırıyorum ve burnum sürekli akıyor."
465,Soğuk algınlığı,"Doktor bey, sabahtan beri burnum sürekli akıyor ve boğazımda yanma var."
466,Soğuk algınlığı,"Doktor bey, son birkaç gündür başım ağrıyor, geceleri artan öksürüğüm var ve sık sık hapşırıyorum."
467,Soğuk algınlığı,"Doktor bey, iki gündür kuru öksürüğüm var, peş peşe hapşuruyorum ve geceleri artan öksürüğüm var."
468,Soğuk algınlığı,"Doktor bey, üç gündür kuru öksürüğüm var ve burnum sürekli akıyor."
469,Soğuk algınlığı,"Hocam, son birkaç gündür başım ağrıyor ve burun akıntım var."
470,Soğuk algınlığı,"Doktor hanım, dünden beri burnum tıkalı ve burnum sürekli akıyor."
471,Soğuk algınlığı,"Hocam, üç gündür burnum tıkalı ve sık sık hapşırıyorum."
472,Soğuk algınlığı,"Doktor bey, iki gündür burnum tıkalı, burun tıkanıklığım var ve balgamsız öksürüyorum."
473,Soğuk algınlığı,"Hocam, son birkaç gündür balgamsız öksürüyorum, burnum tıkalı ve burun akıntım var."
474,Soğuk algınlığı,"Hocam, bir haftadır kuru öksürüğüm var ve boğazım ağrıyor."
475,Soğuk algınlığı,"Doktor hanım, üç gündür geceleri artan öksürüğüm var ve burnum tıkalı."
476,Soğuk algınlığı,"Hocam, üç gündür burun akıntım var ve baş ağrısı eşlik ediyor."
477,Soğuk algınlığı,"Doktor hanım, bir haftadır burnum sürekli akıyor, boğazımda yanma var ve burnum tıkalı."
478,Soğuk algınlığı,"Doktor hanım, bir haftadır burnum sürekli akıyor ve burnum sürekli akıyor."
479,Soğuk algınlığı,"Doktor hanım, bir haftadır geceleri artan öksürüğüm var, burnum tıkalı ve peş peşe hapşuruyorum."
480,Soğuk algınlığı,"Doktor hanım, dünden beri peş peşe hapşuruyorum ve başım ağrıyor."
481,Soğuk algınlığı,"Doktor hanım, iki gündür boğazım ağrıyor ve boğazımda yanma var."
482,Soğuk algınlığı,"Doktor bey, dünden beri peş peşe hapşuruyorum ve burnum tıkalı."
483,Soğuk algınlığı,"Doktor bey, dünden beri burun akıntım var, burnum tıkalı ve boğazımda yanma var."
484,Soğuk algınlığı,"Doktor hanım, dünden beri burun tıkanıklığım var ve geceleri artan öksürüğüm var."
485,Soğuk algınlığı,"Doktor bey, üç gündür boğazım ağrıyor ve yorgunluk hissediyorum."
486,Soğuk algınlığı,"Doktor bey, bir haftadır balgamsız öksürüyorum ve sık sık hapşırıyorum."
487,Soğuk algınlığı,"Doktor bey, üç gündür burnum tıkalı, burnum tıkalı ve burnum tıkalı."
488,Soğuk algınlığı,"Doktor bey, son birkaç gündür burun tıkanıklığım var ve baş ağrısı eşlik ediyor."
489,Soğuk algınlığı,"Hocam, dünden beri baş ağrısı eşlik ediyor ve geceleri artan öksürüğüm var."
490,Soğuk algınlığı,"Doktor hanım, son birkaç gündür burnum sürekli akıyor ve burun akıntım var."
491,Soğuk algınlığı,"Hocam, bir haftadır burnum sürekli akıyor ve kuru öksürüğüm var."
492,Soğuk algınlığı,"Doktor hanım, iki gündür boğazımda yanma var ve sık sık hapşırıyorum."
493,Soğuk algınlığı,"Doktor hanım, bir haftadır burun tıkanıklığım var ve boğazım ağrıyor."
494,Soğuk algınlığı,"Hocam, dünden beri peş peşe hapşuruyorum, burun akıntım var ve kuru öksürüğüm var."
495,Soğuk algınlığı,"Doktor bey, bir haftadır geceleri artan öksürüğüm var ve sık sık hapşırıyorum."
496,Soğuk algınlığı,"Doktor bey, sabahtan beri çok halsizim ve burnum sürekli akıyor."
497,Soğuk algınlığı,"Doktor hanım, üç gündür sık sık hapşırıyorum, burnum sürekli akıyor ve peş peşe hapşuruyorum."
498,Soğuk algınlığı,"Doktor hanım, dünden beri peş peşe hapşuruyorum ve kuru öksürüğüm var."
499,Soğuk algınlığı,"Hocam, sabahtan beri burun tıkanıklığım var, burnum tıkalı ve burun akıntım var."
500,Soğuk algınlığı,"Doktor bey, iki gündür yutkunurken boğazım acıyor ve boğazım ağrıyor."
501,Soğuk algınlığı,"Hocam, son birkaç gündür burun akıntım var ve burun tıkanıklığım var."
502,Soğuk algınlığı,"Doktor hanım, dünden beri peş peşe hapşuruyorum ve sık sık hapşırıyorum."
503,Soğuk algınlığı,"Hocam, son birkaç gündür burun akıntım var ve burun akıntım var."
504,Soğuk algınlığı,"Doktor hanım, iki gündür sık sık hapşırıyorum, burun tıkanıklığım var ve peş peşe hapşuruyorum."
505,Soğuk algınlığı,"Doktor hanım, dünden beri burun akıntım var, burun tıkanıklığım var ve peş peşe hapşuruyorum."
506,Soğuk algınlığı,"Doktor hanım, son birkaç gündür burnum sürekli akıyor ve burnum sürekli akıyor."
507,Soğuk algınlığı,"Doktor hanım, bir haftadır burnum sürekli akıyor ve sık sık hapşırıyorum."
508,Soğuk algınlığı,"Doktor hanım, son birkaç gündür burnum tıkalı, yorgunluk hissediyorum ve burnum sürekli akıyor."
509,Soğuk algınlığı,"Hocam, üç gündür boğazımda yanma var ve burun akıntım var."
510,Soğuk algınlığı,"Doktor hanım, üç gündür burun akıntım var ve burun tıkanıklığım var."
511,Soğuk algınlığı,"Hocam, iki gündür burnum tıkalı ve burnum sürekli akıyor."
512,Soğuk algınlığı,"Doktor bey, bir haftadır yutkunurken boğazım acıyor ve baş ağrısı eşlik ediyor."
513,Soğuk algınlığı,"Hocam, sabahtan beri burnum sürekli akıyor, baş ağrısı eşlik ediyor ve geceleri artan öksürüğüm var."
514,Soğuk algınlığı,"Doktor bey, üç gündür burnum sürekli akıyor ve burun akıntım var."
515,Soğuk algınlığı,"Doktor hanım, son birkaç gündür balgamsız öksürüyorum ve burun akıntım var."
516,Soğuk algınlığı,"Doktor hanım, son birkaç gündür peş peşe hapşuruyorum, peş peşe hapşuruyorum ve balgamsız öksürüyorum."
517,Soğuk algınlığı,"Hocam, iki gündür yutkunurken boğazım acıyor ve yutkunurken boğazım acıyor."
518,Soğuk algınlığı,"Doktor bey, iki gündür burnum sürekli akıyor, burnum tıkalı ve burun tıkanıklığım var."
519,Soğuk algınlığı,"Doktor bey, üç gündür sık sık hapşırıyorum ve burnum sürekli akıyor."
520,Soğuk algınlığı,"Doktor bey, son birkaç gündür burnum sürekli akıyor, peş peşe hapşuruyorum ve boğazım ağrıyor."
521,Soğuk algınlığı,"Hocam, iki gündür sık sık hapşırıyorum ve burun akıntım var."
522,Soğuk algınlığı,"Doktor bey, üç gündür çok halsizim ve peş peşe hapşuruyorum."
523,Soğuk algınlığı,"Hocam, son birkaç gündür başım ağrıyor ve boğazım ağrıyor."
524,Soğuk algınlığı,"Hocam, üç gündür sık sık hapşırıyorum ve burun tıkanıklığım var."
525,Soğuk algınlığı,"Doktor bey, üç gündür burnum tıkalı, kuru öksürüğüm var ve sık sık hapşırıyorum."
526,Soğuk algınlığı,"Doktor hanım, bir haftadır burun akıntım var ve burun akıntım var."
527,Soğuk algınlığı,"Hocam, bir haftadır enerjim yok ve yutkunurken boğazım acıyor."
528,Soğuk algınlığı,"Doktor bey, son birkaç gündür burun tıkanıklığım var, boğazım ağrıyor ve sık sık hapşırıyorum."
529,Soğuk algınlığı,"Doktor hanım, sabahtan beri burnum tıkalı ve peş peşe hapşuruyorum."
530,Soğuk algınlığı,"Hocam, son birkaç gündür burnum sürekli akıyor ve baş ağrısı eşlik ediyor."
531,Soğuk algınlığı,"Doktor hanım, üç gündür sık sık hapşırıyorum, burnum tıkalı ve burnum sürekli akıyor."
532,Soğuk algınlığı,"Doktor bey, sabahtan beri sık sık hapşırıyorum ve burun tıkanıklığım var."
533,Soğuk algınlığı,"Doktor bey, üç gündür boğazımda yanma var ve burun tıkanıklığım var."
534,Soğuk algınlığı,"Doktor bey, bir haftadır boğazım ağrıyor, burnum tıkalı ve burun tıkanıklığım var."
535,Soğuk algınlığı,"Hocam, iki gündür burun tıkanıklığım var ve burnum sürekli akıyor."
536,Soğuk algınlığı,"Doktor bey, üç gündür peş peşe hapşuruyorum, sık sık hapşırıyorum ve peş peşe hapşuruyorum."
537,Soğuk algınlığı,"Hocam, üç gündür enerjim yok, sık sık hapşırıyorum ve burnum sürekli akıyor."
538,Soğuk algınlığı,"Doktor bey, sabahtan beri kuru öksürüğüm var ve burun akıntım var."
539,Soğuk algınlığı,"Doktor bey, bir haftadır boğazım ağrıyor ve peş peşe hapşuruyorum."
540,Soğuk algınlığı,"Hocam, üç gündür burnum sürekli akıyor ve burun tıkanıklığım var."
541,Soğuk algınlığı,"Doktor hanım, sabahtan beri peş peşe hapşuruyorum ve yutkunurken boğazım acıyor."
